Author,Year,Journal,Title,Abstract
Abdel-Dayem et al.,2006,Irrigation and Drainage,an integrated approach to land drainage,"it is common to define drainage as a means to enhance crop production and increase productivity. in order to meet this objective, drainage systems are designed and managed to maintain favourable moisture and salt conditions in the root zone. examples from around the world show that drainage has done well to achieve this objective. however, lessons show that many impacts of drainage, positive and negative, have been overlooked, including those on health, built up settlements and infrastructure, flood management, groundwater recharge, sanitation, surface and groundwater quality, fisheries and aquatic life, and the environment in general. thus, the single objective approach takes drainage out of the broader context of land and water management and diminishes the overall gains of improved drainage and ignores its full cost. it does also not allow the stakeholders from outside the farming community to be involved in the decision making leading to conflict of interests. it also misses an important opportunity for increasing the financing potential. a better understanding of drainage as a practice for managing the multiple functions of land and water resources is needed in order to achieve an optimal mix of economic and social gains, sustainable natural resources management and a healthy environment. this would only be possible when an interdisciplinary and integrated approach is followed in planning and managing land drainage. the approach, called drainframe, is a framework for analysis, communication, discussion, and decision making by all stakeholders. it looks at the overall social, economic, and environmental productivity of the entire water management system, of which drainage is an integral part. it allows comprehensive analysis and assessment of basin wide social and economic impacts of drainage following a participatory planning approach. although the methodology was developed from a drainage perspective, it is geared towards natural resources management planning in general. it can be equally used in planning irrigation, flood control or watershed management projects. the drainframe approach was applied in planning some new world bank supported projects in egypt and pakistan with the objective of promoting the concept of integrated water resources management. copyright (c) 2006 john wiley & sons, ltd."
Abderrahman et al.,2005,International Journal of Water Resources Development,groundwater management for sustainable development of urban and rural areas in extremely arid regions: a case study,"in saudi arabia, the recharge to local and regional aquifers is mostly indirect, very limited and insignificant, especially with low annual precipitation. most of the stored groundwater in local and regional aquifers is non renewable fossil water. with rapid socio economic developments and increasing population coupled with agricultural and industrial growth in the kingdom, especially after the large increase in oil revenues after 1974, the water demands have increased drastically. by understanding the aquifer features, the country followed a planned approach based on controlling aquifer development and demand management to use its groundwater resources. the socio economic developments in rural areas have been very pronounced. corrective demand management measures including reduction in cultivated areas and modification in agricultural support policies in addition to the augmentation of water supplies by the reuse of treated wastewater have reduced the stress on groundwater. the establishment of a special ministry for water and the adoption of a national water planning approach and the use of an integrated water resources management tool are expected to contribute effectively to the achievement of sustainable groundwater resources and the national interest of the country."
Abdulrazzak et al.,2002,Water International,the role of desalination in meeting water supply demands in western asia,"the increasing gap between the supply and demand for water in the economic and social commission of western asia (escwa) member countries: bahrain, egypt, iraq, jordan, kuwait, lebanon, oman, palestine, qatar saudi arabia, united arab emirates, and yemen) can be attributed to the limited availability of surfacewater mining of fossil groundwater sources, and water pollution mainly of shallow aquifers, deficient institutional structure, poor management processes, and inapt allocation of financial resources. the non sustainable use of natural water resources to meet the escalating water demand has also contributed to the depletion and deterioration of water quality and quantity. to meet water supply shortages in the domestic sector, water desalination has been entrenched as a viable option for the gulf cooperation council (gcc), which includes the following countries: bahrain, kuwait, oman, qatar saudi arabia, and united arab emirates. the objective of the paper is to investigate the role of water desalination in meeting the water demands in the escwa member countries. the significant role of desalination is highlighted with emphasis in evaluating not only its production trends, processes, and costs, but also its capacity in the provision of water demands. water desalination has become a major and staunch water source for a number of large urban centers. for such countries such as bahrain, kuwait, and qatar and the coastal zone areas of oman, united arab emirates (uae), if and saudi arabia, desalination represents one of the most feasible and strategic alternative options for their current and future domestic water supply requirement. given the high consumption rate from this source and its high production cost, fundamental efforts must be integrated and invested in both research and development programs to implement comprehensive conservation measures that would lead to a reduction in the consumption rates. parallel to these achievements, efforts should be directed within the context of integrated management of water resources, to identify alternative potential water resources, to meet future water challenges."
Abu-El-Sha'r et al.,2007,Water Resources Management,application of the high performance computing techniques of parflow simulator to model groundwater flow at azraq basin,application of the high performance computing techniques of parflow simulator to model groundwater flow at azraq basin
Ahmad et al.,2002,Irrigation and Drainage,sustainable use of groundwater for irrigation: a numerical analysis of the subsoil water fluxes,"the food producing regions of the world increasingly rely on irrigation from groundwater resources. further increases of groundwater use can adversely affect the sustainability of irrigated agriculture and put food security at risk. sustainability of irrigation at field scale with groundwater is obtained if groundwater recharge is in equilibrium with tubewell extractions and capillary rise. traditional information on phreatic surface behaviour does not explain the processes causing a phreatic surface to decline or incline. in this study, the physically based numerical model soil water atmosphere plant (swap) was applied to compute soil moisture content and vertical soil water fluxes in the unsaturated zone for the cotton wheat and rice wheat cropping system of punjab, pakistan. swap has been calibrated and verified with in situ measurements of soil moisture content and evapotranspiration fluxes measured by means of the bowen ratio surface energy balance technique. accurate data of the soil hydraulic properties are critical for the calibration of the soil moisture distribution. with knowledge of the van genuchten mualem parameters available, swap could be applied to assess recharge and capillary rise for most field conditions, including basin irrigation. the results under pakistani conditions show that deep percolation cannot always be estimated from root zone waterbalances. an annual recharge of 23.3 cm was computed for the cotton wheat area. sustainability of irrigation with groundwater is obtained if a reduction in irrigation with groundwater by 36% is obtained. an annual recharge of 38.9 cm is estimated in rice wheat systems, and a reduction of 62% in groundwater extraction is required to reach sustainability of groundwater use at field scale. such information cannot be obtained from classical phreatic surface fluctuation data, and unsaturated zone modelling therefore provides additional insights for groundwater policy making. copyright (c) 2002 john wiley sons, ltd."
Ahmad et al.,2005,Hydrogeology Journal,"a new technique to estimate net groundwater use across large irrigated areas by combining remote sensing and waterbalance approaches, rechna doab, pakistan","overexploitation of groundwater resources threatens the future of irrigated agriculture, especially in the arid and semi arid regions of the world. in order to reverse this trend, and to ensure future food security, the achievement of sustainable groundwater use is ranking high on the agenda of water policy makers. spatio temporally distributed information on net groundwater use i.e. the difference between tubewell withdrawals for irrigation and net recharge is often unknown at the river basin scale. conventionally, groundwater use is estimated from tubewell inventories or phreatic surface fluctuations. there are shortcomings related to the application of these approaches. an alternative methodology for computing the various waterbalance components of the unsaturated zone by using geo information techniques is provided in this paper. with this approach, groundwater recharge will not be quantified explicitly, but is part of net groundwater use, and the spatial variation can be quantitatively described. records of routine climatic data, canal discharges at major offtakes, phreatic surface depth fluctuations, and simplified information on soil textural properties are required as input data into this new geographic information system and remote sensing tool. the rechna doab region (approximately 2.97 million ha), located in the indus basin irrigation system of pakistan, has been used as a case study. on an annual basis, an areal average net groundwater use of 82 mm year( 1) was estimated. the current result deviates 65% from the specific yield method. the deviation from estimates using tubewell withdrawal related data is even higher."
Aida et al.,2006,Molecular and Cellular Biology,transcriptional pausing caused by nelf plays a dual role in regulating immediate early expression of the junb gene,"human 5,6 dichloro 1 beta d ribofuranosylbenzimidazole sensitivity inducing factor (dsif) and negative elongation factor (nelf) negatively regulate transcription elongation by rna polymerase ii (rnapii) in vitro. however, the physiological roles of this negative regulation are not well understood. here, by using a number of approaches to identify protein dna interactions in vivo, we show that dsif  and nelf mediated transcriptional pausing has a dual function in regulating immediate early expression of the human junb gene. before induction by interleukin 6, rnapii, dsif, and nelf accumulate in the promoter proximal region of junb, mainly at around position +50 from the transcription initiation site. after induction, the association of these proteins with the promoter proximal region continues whereas rnapii and dsif are also found in the downstream regions. depletion of a subunit of nelf by rna interference enhances the junb mrna level both before and after induction, indicating that dsif  and nelf mediated pausing contributes to the negative regulation of junb expression, not only by inducing rnapii pausing before induction but also by attenuating transcription after induction. these regulatory mechanisms appear to be conserved in other immediate early genes as well."
Al-Adamat et al.,2003,Applied Geography,"groundwater vulnerability and risk mapping for the basaltic aquifer of the azraq basin of jordan using gis, remote sensing and drastic","groundwater vulnerability and risk mapping for the basaltic aquifer of the azraq basin of jordan using gis, remote sensing and drastic"
Allam et al.,2003,Desalination,desalination of brackish groundwater in egypt,"fresh groundwater resources in egypt contribute to some 20% of the total potential of water resources in egypt. the ministry of water resources and irrigation (mwri) increasingly recognizes its importance in the overall water resources management. the need for a more comprehensive groundwater management approach has led to the establishment of the groundwater sector (gws) in december 1999. the gws is now the sole responsible governmental agency for management of all groundwater resources and related water resources. the mandate of the gws is: formulating and implementing the general policy for developing and managing groundwater and related water resources (flash floods, rainwater harvesting and desalinated water) on the national, regional and sub regional level. desalination of brackish groundwater in egypt has a great potential. with respect to the availability of the resource. all major aquifer systems in egypt contain vast quantities of brackish groundwater. the exploitation of this resource is still limited. with the current low price of brackish water desalination there is a growing interest towards its exploitation. brackish water desalination plants in egypt confirm the potential of this solution. other uses for brackish groundwater that are being considered are agriculture (salt tolerant crops) and fisheries (shrimp farms). the elements of the vision for desalination of brackish groundwater are: environmental sustainability through recycling of water and re infiltration; public private partnerships for exploitation, especially in the tourism sector; private sector financing through accepted modalities (bot, dbo, etc.). with the input of experience from the netherlands through the gws project a new program for desalination was started. this program aims to provide the necessary concepts and data on desalination of brackish groundwater in egypt to allow the gws to formulate a clear policy in this regard."
Alley et al.,2004,Ground Water,the journey from safe yield to sustainability,"safe yield concepts historically focused attention on the economic and legal aspects of groundwater development. sustainability concerns have brought environmental aspects more to the forefront and have resulted in a more integrated outlook. water resources sustainability is not a purely scientific concept, but rather a perspective that can frame scientific analysis. the evolving concept of sustainability presents a challenge to hydrologists to translate complex, and sometimes vague, socioeconomic and political questions into technical questions that can be quantified systematically. hydrologists can contribute to sustainable water resources management by presenting the longer term implications of groundwater development as an integral part of their analyses."
Amaral et al.,2007,Journal of Antimicrobial Chemotherapy,enhanced killing of intracellular multidrug resistant mycobacterium tuberculosis by compounds that affect the activity of efflux pumps,"whereas human neutrophils are effective and efficient killers of bacteria, macrophages such as those derived from monocytes are almost devoid of killing activity. nevertheless, monocytes can be transformed into effective killers of mycobacteria or staphylococci when exposed to clinical concentrations of a phenothiazine or to inhibitors of eff lux pumps (reserpine and verapamil), or to ouabain, an inhibitor of k+ transport. because the rates of multidrug resistant mycobacterium tuberculosis (mdr tb) continue to escalate globally, and because no new effective drug has been made available for almost 40 years, compounds that enhance the killing activity of monocytes against mdr tb are obviously needed. this review covers the specific characteristics of mdr tb, identifies a variety of agents that address these characteristics and therefore have potential for managing mdr tb. because the mechanism by which these agents enhance the killing of intracellular bacteria is important for the intelligent design of new anti tubercular agents, the review correlates the mechanisms by which these agents manifest their effects. lastly, a model is presented which describes the mechanisms by which distinct efflux pumps of the phagosome lysosome complex are inhibited by agents that are known to inhibit k+ flux. the model also predicts the existence of a k+ activated exchange (pump) that is probably located in the membrane that delineates the lysosome. this putative pump, which is immune to inhibitors of k+ flux, is identified as being the cause for the acidification of the lysosome thereby activating its hydrolytic enzymes. because the non killer macrophage can be transformed into an effective killer by a variety of compounds that inhibit k+ transport, perhaps it would be wise to develop drugs that enhance the killing activity of these cells inasmuch as this approach would not be subject to any resistance, as is the eventual case for conventional antibiotics."
Andersen et al.,2009,Hydrogeology Journal,"stream aquifer interactions in the maules creek catchment, namoi valley, new south wales, australia","the interaction between surfacewater streams and groundwater in the maules creek catchment of northern new south wales, australia has been investigated using a wide range of techniques. zones of groundwater discharge were mapped by measuring the temperature and fluid electrical conductivity distribution in bores and surfacewater. zones where surfacewater appears to be recharging the aquifer were investigated by measuring the vertical head gradient between the stream and adjacent bores and by estimates of the decreasing surface flow. geological heterogeneity appears to be the most significant factor in controlling exchange. lithological information was assembled using geophysical logging of existing bores, supplemented by the results of electrical resistivity imaging. a preliminary waterbalance was assembled from the available state records of groundwater abstraction for irrigation, rainfall, evapotranspiration and flow gauging in maules creek and the adjacent namoi river. the analysis has demonstrated the complexity of these coupled systems and gives an indication of the most efficient techniques to be deployed in the field to investigate these complex but important systems."
Andrei et al.,2008,Journal of Wildlife Management,habitat use by migrant shorebirds in saline lakes of the southern great plains,"shorebirds migrating through the southern great plains of north america use saline lakes as stopovers to rest and replenish energy reserves. to understand how availability of invertebrates, salinity, freshwater springs, vegetation, and water influence the value of saline lakes as migration stopovers, we compared lakes used and not used by migrant shorebirds. shorebirds used lakes that had freshwater springs, mudflats and standing water, sparse vegetation (<= 1% cover), low to moderate salinities (x = 30.87 g/l), and mean invertebrate biomass of 0.79 g/m(2). lakes that were not used were generally dry or had hypersaline water (x = 82.56 g/l), lacked flowing springs and vegetation, and had few or no invertebrates (x = 0.007 g/m(2)). our results suggest that reduced spring flows and increased salinity negatively affect availability of shorebird habitats and aquatic invertebrates. we recommend preservation of the freshwater springs discharging in the saline lakes. because the springs are discharged from the ogallala aquifer, which is recharged through the playa wetlands, the entire complex of wetlands in the great plains and the ogallala aquifer should be managed as an integral system."
